,threshold-competitive,impact-long-queues,initial-corona-number,service-timeSA,policy-implemented,time-slot?,percentage-competitive,cum-infected,average-timequeue,min-timequeue,max-timequeue,cum-infected-10080,cum-infected-18720
260,30,4,1,3,policy 0 (baseline),False,10,240,313.7159091,2,910,3,28
261,30,4,1,3,policy 0 (baseline),False,10,110,339.25,2,942,3,10
262,30,4,1,3,policy 0 (baseline),False,10,216,279.5056818,2,914,4,24
263,30,4,1,3,policy 0 (baseline),False,10,397,371.3011364,2,1011,9,53
264,30,4,1,3,policy 0 (baseline),False,10,381,370.4090909,2,990,3,57
265,30,4,1,3,policy 0 (baseline),False,10,283,372.9147727,2,1016,2,30
266,30,4,1,3,policy 0 (baseline),False,10,358,192.2443182,2,799,2,30
267,30,4,1,3,policy 0 (baseline),False,10,292,254.4204545,2,902,4,43
268,30,4,1,3,policy 0 (baseline),False,10,131,306.9715909,2,937,3,24
269,30,4,1,3,policy 0 (baseline),False,10,402,411.9488636,2,1040,6,46
270,30,4,1,4,policy 0 (baseline),False,10,236,508.0340909,3,1078,3,20
271,30,4,1,4,policy 0 (baseline),False,10,238,485.2045455,3,1074,4,33
272,30,4,1,4,policy 0 (baseline),False,10,298,533.9886364,3,1431,3,35
273,30,4,1,4,policy 0 (baseline),False,10,147,504.1875,3,1131,3,16
274,30,4,1,4,policy 0 (baseline),False,10,136,444.2897727,3,1004,3,21
275,30,4,1,4,policy 0 (baseline),False,10,405,429.5909091,3,982,7,57
276,30,4,1,4,policy 0 (baseline),False,10,623,586.4886364,3,1468,2,101
277,30,4,1,4,policy 0 (baseline),False,10,178,551.875,3,1126,3,20
278,30,4,1,4,policy 0 (baseline),False,10,80,520.375,3,1129,2,4
279,30,4,1,4,policy 0 (baseline),False,10,439,474.3636364,3,1021,5,54
280,30,4,1,5,policy 0 (baseline),False,10,36,929.8181818,4,1879,3,4
281,30,4,1,5,policy 0 (baseline),False,10,320,826.0454545,4,1874,2,49
282,30,4,1,5,policy 0 (baseline),False,10,625,843.6022727,4,1822,6,103
283,30,4,1,5,policy 0 (baseline),False,10,251,673.2215909,4,1271,6,33
284,30,4,1,5,policy 0 (baseline),False,10,325,752.0965909,4,1342,4,51
285,30,4,1,5,policy 0 (baseline),False,10,43,603.2727273,4,1164,2,4
286,30,4,1,5,policy 0 (baseline),False,10,325,571.4772727,5,1150,3,38
287,30,4,1,5,policy 0 (baseline),False,10,189,758,4,1805,3,24
288,30,4,1,5,policy 0 (baseline),False,10,81,699.5056818,4,1242,4,9
289,30,4,1,5,policy 0 (baseline),False,10,254,730.6875,4,1664,4,41
290,30,4,1,6,policy 0 (baseline),False,10,410,813.5511364,5,1384,7,64
291,30,4,1,6,policy 0 (baseline),False,10,432,933.375,5,2313,3,51
292,30,4,1,6,policy 0 (baseline),False,10,61,849.9545455,5,1488,4,13
293,30,4,1,6,policy 0 (baseline),False,10,121,1118.028409,5,2446,3,9
294,30,4,1,6,policy 0 (baseline),False,10,236,869.4034091,5,1472,5,32
295,30,4,1,6,policy 0 (baseline),False,10,677,938.2954545,5,2333,3,100
296,30,4,1,6,policy 0 (baseline),False,10,305,919.9090909,5,2272,3,18
297,30,4,1,6,policy 0 (baseline),False,10,384,908.3636364,5,1853,6,41
298,30,4,1,6,policy 0 (baseline),False,10,62,812.4261364,5,1473,3,10
299,30,4,1,6,policy 0 (baseline),False,10,301,967.7102273,5,2388,3,35
300,30,4,2,2,policy 0 (baseline),False,10,417,182.9375,1,441,5,62
301,30,4,2,2,policy 0 (baseline),False,10,555,93.11363636,1,262,5,78
302,30,4,2,2,policy 0 (baseline),False,10,227,64.13636364,1,255,5,27
303,30,4,2,2,policy 0 (baseline),False,10,524,77.27272727,1,252,10,67
304,30,4,2,2,policy 0 (baseline),False,10,452,116.7159091,1,353,5,55
305,30,4,2,2,policy 0 (baseline),False,10,584,183.7556818,1,434,8,83
306,30,4,2,2,policy 0 (baseline),False,10,202,79.27840909,1,252,5,24
307,30,4,2,2,policy 0 (baseline),False,10,317,143.6420455,1,370,5,41
308,30,4,2,2,policy 0 (baseline),False,10,602,84.57954545,1,317,12,92
309,30,4,2,2,policy 0 (baseline),False,10,338,114.7045455,1,321,6,44
310,30,4,2,3,policy 0 (baseline),False,10,286,391.7670455,2,1044,10,44
311,30,4,2,3,policy 0 (baseline),False,10,652,346.1534091,2,1003,9,98
312,30,4,2,3,policy 0 (baseline),False,10,428,385.3863636,2,1021,7,63
313,30,4,2,3,policy 0 (baseline),False,10,574,417.7784091,2,999,11,91
314,30,4,2,3,policy 0 (baseline),False,10,669,366.4261364,2,973,9,88
315,30,4,2,3,policy 0 (baseline),False,10,151,298.9261364,2,887,5,23
316,30,4,2,3,policy 0 (baseline),False,10,365,103.9770115,2,381,8,77
317,30,4,2,3,policy 0 (baseline),False,10,407,242.8352273,2,860,7,52
318,30,4,2,3,policy 0 (baseline),False,10,591,395.9829545,2,1013,11,100
319,30,4,2,3,policy 0 (baseline),False,10,243,227.0113636,2,815,7,28
320,30,4,2,4,policy 0 (baseline),False,10,595,375.9090909,3,1013,10,100
321,30,4,2,4,policy 0 (baseline),False,10,454,527.0284091,3,1103,8,75
322,30,4,2,4,policy 0 (baseline),False,10,382,398.6647727,3,1002,6,40
323,30,4,2,4,policy 0 (baseline),False,10,432,533.3693182,3,1064,9,60
324,30,4,2,4,policy 0 (baseline),False,10,579,483.8920455,3,1097,6,76
325,30,4,2,4,policy 0 (baseline),False,10,283,505.9090909,3,1029,6,34
326,30,4,2,4,policy 0 (baseline),False,10,635,489.2215909,3,1124,11,110
327,30,4,2,4,policy 0 (baseline),False,10,400,495.9659091,3,1052,7,56
328,30,4,2,4,policy 0 (baseline),False,10,263,411.7727273,3,1039,9,38
329,30,4,2,4,policy 0 (baseline),False,10,385,489.9886364,3,1019,10,62
330,30,4,2,5,policy 0 (baseline),False,10,287,684.1306818,4,1350,7,40
